balance_id,history_id,updated_at,balance_delta,balance_amount,additional_info,payment_source,payment_type,reference_number
28070,135444,11/29/2019 12:21,90,90,Qitaf Points Redemption -976CC7A5-22E2-7980-E95C-2D1208E628AD,qitaf,,976CC7A5-22E2-7980-E95C-2D1208E628AD
28070,135445,11/29/2019 12:27,-90,0,رقم الطلب #22011209,Order,Pay,22011209
28070,135448,11/29/2019 12:54,90,90,System Credit due to #22011209 order cancellation.,Order,Cancel,22011209
28070,135450,11/29/2019 13:03,-90,0,رقم الطلب #22011290,Order,Pay,22011290
28070,135461,11/29/2019 14:00,90,90,System Credit due to #22011290 order cancellation.,Order,Cancel,22011290
28070,138246,12/9/2019 19:41,-89,1,رقم الطلب #22052870,Order,Pay,22052870
28070,707132,1/17/2021 2:37,-1,0,رقم الطلب #25957359,Order,Pay,25957359
28070,707139,1/17/2021 2:45,89.5,89.5,Qitaf Points Redemption -CD73E718-7ACA-CC5C-2F90-99478FE01D2C,qitaf,,CD73E718-7ACA-CC5C-2F90-99478FE01D2C
28070,707140,1/17/2021 2:45,-89.5,0,رقم الطلب #25957401,Order,Pay,25957401
28070,707158,1/17/2021 3:01,89.5,89.5,System Credit due to #25957401 order cancellation.,Order,Cancel,25957401
28070,707159,1/17/2021 3:01,-89.5,0,Order #25957503,Order,Pay,25957503
28070,707212,1/17/2021 4:02,1,1,System Credit due to #25957359 order cancellation.,Order,Cancel,25957359
28070,1036261,3/7/2022 13:45,-1,0,رقم الطلب #3000299279,Order,Pay,3000299279
28070,1036280,3/7/2022 14:50,1,1,Order #3000299279,Order,Cancel,3000299279
28070,1036605,3/8/2022 16:09,-1,0,رقم الطلب #3000302814,Order,Pay,3000302814
28070,1036642,3/8/2022 17:10,1,1,Order #3000302814,Order,Cancel,3000302814
28070,1048763,3/27/2022 22:08,-1,0,رقم الطلب #3000428134,Order,Pay,3000428134
28070,1048764,3/27/2022 22:08,1,1,رقم الطلب #3000428134,Order,Cancel,3000428134
28070,1048765,3/27/2022 22:08,-1,0,رقم الطلب #3000428136,Order,Pay,3000428136
28070,1048766,3/27/2022 22:09,77.5,77.5,Qitaf points redeemed for order #3000428136,qitaf,Pay,60519C8E-999A-7AF8-AAC8-69AAAFAA4C10
28070,1048767,3/27/2022 22:09,-77.5,0,رقم الطلب #3000428136,Order,Pay,3000428136
28070,1388870,4/16/2023 0:45,85.7,85.7,Qitaf points redeemed for order #3006270275,qitaf,Pay,932C7E4B-2722-3C34-60C8-59ECAB9611A2
28070,1388871,4/16/2023 0:45,-85.7,0,رقم الطلب #3006270275,Order,Pay,3006270275
28071,135449,11/29/2019 12:55,19,19,Qitaf Points Redemption -64DE60CB-9361-B62B-E737-82CC83AABB1A,qitaf,,64DE60CB-9361-B62B-E737-82CC83AABB1A
28071,135495,11/29/2019 17:26,-19,0,رقم الطلب #22012462,Order,Pay,22012462
28072,135478,11/29/2019 16:20,300,300,,Order,Pay,22011979
28072,135479,11/29/2019 19:20,-300,0,order #22011979 .,,,
28072,144615,12/31/2019 21:12,300,300,Reverse of Original Transaction ID 135479,,,
28072,144615,12/31/2019 21:12,300,300,Reverse of Original Transaction ID 135479,,,
28072,144616,12/31/2019 21:12,-300,0,Reverse of Original Transaction ID 135478,Order,Pay,22011979
28072,144617,12/31/2019 21:12,300,300,Master Card eVoucher 300 SR#MCJB30710234,mktpromo,,MKT-MCVCHR300
28072,144618,12/31/2019 21:12,-300,0,order #22011979 .,Order,Pay,22011979
28073,135485,11/29/2019 16:51,38,38,Qitaf Points Redemption -48400BBD-6CDA-7CEA-5F6A-DFE1073F92EF,qitaf,,48400BBD-6CDA-7CEA-5F6A-DFE1073F92EF
28073,135488,11/29/2019 17:04,-38,0,رقم الطلب #22012300,Order,Pay,22012300
28073,135489,11/29/2019 17:05,37,37,Qitaf Points Redemption -E1C252F6-3AF1-490D-C80D-F327921B6087,qitaf,,E1C252F6-3AF1-490D-C80D-F327921B6087
28073,135490,11/29/2019 17:05,-37,0,رقم الطلب #22012313,Order,Pay,22012313
28073,135493,11/29/2019 17:13,37,37,System Credit due to #22012313 order cancellation.,Order,Cancel,22012313
28073,135494,11/29/2019 17:13,38,75,System Credit due to #22012300 order cancellation.,Order,Cancel,22012300
28073,139108,12/13/2019 17:08,-75,0,رقم الطلب #22064256,Order,Pay,22064256
28074,135486,11/29/2019 16:55,699,699,Qitaf Points Redemption -41CB71FE-5930-89E5-53A9-3AF8DBF40715,qitaf,,41CB71FE-5930-89E5-53A9-3AF8DBF40715
28074,135491,11/29/2019 17:07,-699,0,رقم الطلب #22012326,Order,Pay,22012326
28075,135492,11/29/2019 17:07,171,171,Qitaf Points Redemption -02A95229-739A-55C9-6677-6154A8917469,qitaf,,02A95229-739A-55C9-6677-6154A8917469
28075,136989,12/4/2019 11:21,-159.8,11.2,Order #10510264,Order,Pay,10510264
28075,398560,5/18/2020 16:21,-11.2,0,Order #10814999,Order,Pay,10814999
28075,398659,5/18/2020 18:02,11.2,11.2,System Credit due to #10814999 order cancellation.,Order,Cancel,10814999
28075,411208,5/31/2020 11:25,-11.2,0,Order #10836854,Order,Pay,10836854
28075,411248,5/31/2020 11:49,11.2,11.2,System Credit due to #10836854 order cancellation.,Order,Cancel,10836854
28075,411251,5/31/2020 11:50,-11.2,0,Order #10836898,Order,Pay,10836898
28076,135496,11/29/2019 17:34,12,12,Qitaf Points Redemption -4F20D42B-6290-843F-AA60-811C5D866909,qitaf,,4F20D42B-6290-843F-AA60-811C5D866909
28076,135566,11/29/2019 21:29,-12,0,رقم الطلب #22014430,Order,Pay,22014430
28076,135572,11/29/2019 21:36,12,12,System Credit due to #22014430 order cancellation.,Order,Cancel,22014430
28077,135505,11/29/2019 17:57,300,300,Qitaf Points Redemption -1A5D0F60-9A9B-15CE-8691-A60CEA15385A,qitaf,,1A5D0F60-9A9B-15CE-8691-A60CEA15385A
28077,144153,12/30/2019 18:57,-300,0,Order #10529646,Order,Pay,10529646
28077,726142,1/31/2021 18:04,149,149,Qitaf Points Redemption -11C8610C-9036-D3C9-3049-D8C09C468B84,qitaf,,11C8610C-9036-D3C9-3049-D8C09C468B84
28077,726143,1/31/2021 18:04,-149,0,Order #11333587,Order,Pay,11333587
