index,Balance_ID,History_ID,Date,Money_Flow,Source,Source_Seq_No,Transaction_Amount,Balance,Unnamed: 0
0.0,28070,135444,11/29/2019 12:21,90.0,qitaf1,1,90.0,90.0,
1.0,28070,135445,11/29/2019 12:27,-90.0,qitaf1,1,-90.0,0.0,
2.0,28070,135448,11/29/2019 12:54,90.0,qitaf1,1,90.0,90.0,
3.0,28070,135450,11/29/2019 13:03,-90.0,qitaf1,1,-90.0,0.0,
4.0,28070,135461,11/29/2019 14:00,90.0,qitaf1,1,90.0,90.0,
5.0,28070,138246,12-09-2019 19:41,-89.0,qitaf1,1,-89.0,1.0,
6.0,28070,707132,1/17/2021 2:37,-1.0,qitaf1,1,-1.0,0.0,
7.0,28070,707139,1/17/2021 2:45,89.5,e-gifts1,2,89.5,89.5,
8.0,28070,707140,1/17/2021 2:45,-89.5,e-gifts1,2,-89.5,0.0,
9.0,28070,707158,1/17/2021 3:01,89.5,e-gifts1,2,89.5,89.5,
10.0,28070,707159,1/17/2021 3:01,-89.5,e-gifts1,2,-89.5,0.0,
11.0,28070,707212,1/17/2021 4:02,1.0,qitaf1,1,1.0,1.0,
12.0,28070,1036261,03-07-2022 13:45,-1.0,qitaf1,1,-1.0,0.0,
13.0,28070,1036280,03-07-2022 14:50,1.0,qitaf1,1,1.0,1.0,
14.0,28070,1036605,03-08-2022 16:09,-1.0,qitaf1,1,-1.0,0.0,
15.0,28070,1036642,03-08-2022 17:10,1.0,qitaf1,1,1.0,1.0,
16.0,28070,1048763,3/27/2022 22:08,-1.0,qitaf1,1,-1.0,0.0,
17.0,28070,1048764,3/27/2022 22:08,1.0,qitaf1,1,1.0,1.0,
18.0,28070,1048765,3/27/2022 22:08,-1.0,qitaf1,1,-1.0,0.0,
19.0,28070,1048766,3/27/2022 22:09,77.5,emkan1,3,77.5,77.5,
20.0,28070,1048767,3/27/2022 22:09,-77.5,emkan1,3,-77.5,0.0,
21.0,28070,1388870,4/16/2023 0:45,85.7,qitaf2,4,85.7,85.7,
22.0,28070,1388871,4/16/2023 0:45,-85.7,qitaf2,4,-85.7,0.0,
23.0,28071,135449,11/29/2019 12:55,19.0,qitaf1,1,19.0,19.0,
24.0,28071,135495,11/29/2019 17:26,-19.0,qitaf1,1,-19.0,0.0,
25.0,28072,135478,11/29/2019 16:20,300.0,PAYED/CANCELLED1,1,300.0,300.0,
26.0,28072,135479,11/29/2019 19:20,-300.0,PAYED/CANCELLED1,1,-300.0,0.0,
27.0,28072,144615,12/31/2019 21:12,300.0,nan2,2,300.0,300.0,
28.0,28072,144615,12/31/2019 21:12,300.0,nan3,3,300.0,600.0,
29.0,28072,144616,12/31/2019 21:12,-300.0,nan2,2,-300.0,300.0,
30.0,28072,144617,12/31/2019 21:12,300.0,mktpromo1,4,300.0,600.0,
31.0,28072,144618,12/31/2019 21:12,-300.0,nan3,3,-300.0,300.0,
32.0,28073,135485,11/29/2019 16:51,38.0,qitaf1,1,38.0,38.0,
33.0,28073,135488,11/29/2019 17:04,-38.0,qitaf1,1,-38.0,0.0,
34.0,28073,135489,11/29/2019 17:05,37.0,qitaf2,2,37.0,37.0,
35.0,28073,135490,11/29/2019 17:05,-37.0,qitaf2,2,-37.0,0.0,
36.0,28073,135493,11/29/2019 17:13,37.0,qitaf2,2,37.0,37.0,
37.0,28073,135494,11/29/2019 17:13,38.0,qitaf1,1,38.0,75.0,
38.0,28073,139108,12/13/2019 17:08,-75.0,qitaf2,2,-37.0,38.0,
39.0,28073,139108,12/13/2019 17:08,-75.0,qitaf1,1,-38.0,0.0,
40.0,28074,135486,11/29/2019 16:55,699.0,qitaf1,1,699.0,699.0,
41.0,28074,135491,11/29/2019 17:07,-699.0,qitaf1,1,-699.0,0.0,
42.0,28075,135492,11/29/2019 17:07,171.0,qitaf1,1,171.0,171.0,
43.0,28075,136989,12-04-2019 11:21,-159.8,qitaf1,1,-159.8,11.2,
44.0,28075,398560,5/18/2020 16:21,-11.2,qitaf1,1,-11.2,0.0,
45.0,28075,398659,5/18/2020 18:02,11.2,qitaf1,1,11.2,11.2,
46.0,28075,411208,5/31/2020 11:25,-11.2,qitaf1,1,-11.2,0.0,
47.0,28075,411248,5/31/2020 11:49,11.2,qitaf1,1,11.2,11.2,
48.0,28075,411251,5/31/2020 11:50,-11.2,qitaf1,1,-11.2,0.0,
49.0,28076,135496,11/29/2019 17:34,12.0,qitaf1,1,12.0,12.0,
50.0,28076,135566,11/29/2019 21:29,-12.0,qitaf1,1,-12.0,0.0,
51.0,28076,135572,11/29/2019 21:36,12.0,qitaf1,1,12.0,12.0,
52.0,28077,135505,11/29/2019 17:57,300.0,qitaf1,1,300.0,300.0,
53.0,28077,144153,12/30/2019 18:57,-300.0,qitaf1,1,-300.0,0.0,
54.0,28077,726142,1/31/2021 18:04,149.0,qitaf2,2,149.0,149.0,
55.0,28077,726143,1/31/2021 18:04,-149.0,qitaf2,2,-149.0,0.0,
56.0,28077,735152,02-07-2021 17:53,295.0,qitaf3,3,295.0,295.0,
57.0,28077,735154,02-07-2021 17:53,-295.0,qitaf3,3,-295.0,0.0,
58.0,28077,792291,04-11-2021 11:40,30.0,qitaf4,4,30.0,30.0,
59.0,28077,792292,04-11-2021 11:40,-30.0,qitaf4,4,-30.0,0.0,
60.0,28077,1144315,8/23/2022 10:55,109.0,qitaf5,5,109.0,109.0,
61.0,28077,1144316,8/23/2022 10:55,-109.0,qitaf5,5,-109.0,0.0,
62.0,28078,135507,11/29/2019 18:21,1329.0,PAYED/CANCELLED1,1,1329.0,1329.0,
63.0,28078,135508,11/29/2019 21:21,-1329.0,PAYED/CANCELLED1,1,-1329.0,0.0,
64.0,28078,135614,11/29/2019 23:13,1329.0,PAYED/CANCELLED2,2,1329.0,1329.0,
65.0,28078,135615,11/30/2019 2:13,-1329.0,PAYED/CANCELLED2,2,-1329.0,0.0,
66.0,28079,135509,11/29/2019 18:30,62.0,qitaf1,1,62.0,62.0,
67.0,28079,135512,11/29/2019 18:39,-38.0,qitaf1,1,-38.0,24.0,
68.0,28079,151393,1/22/2020 3:37,-24.0,qitaf1,1,-24.0,0.0,
69.0,28079,151407,1/22/2020 4:30,24.0,qitaf1,1,24.0,24.0,
70.0,28079,162369,03-06-2020 11:33,-24.0,qitaf1,1,-24.0,0.0,
71.0,28079,162377,03-06-2020 12:30,24.0,qitaf1,1,24.0,24.0,
72.0,28080,135515,11/29/2019 19:23,81.0,qitaf1,1,81.0,81.0,
73.0,28080,135516,11/29/2019 19:32,-81.0,qitaf1,1,-81.0,0.0,
74.0,28080,135534,11/29/2019 20:30,81.0,qitaf1,1,81.0,81.0,
75.0,28080,135815,11/30/2019 16:21,-81.0,qitaf1,1,-81.0,0.0,
76.0,28080,135817,11/30/2019 16:25,250.0,PAYED/CANCELLED1,2,250.0,250.0,
77.0,28080,135818,11/30/2019 19:25,-250.0,PAYED/CANCELLED1,2,-250.0,0.0,
78.0,28080,135942,11/30/2019 22:02,331.0,OtherSource1,3,331.0,331.0,
79.0,28080,136041,12-01-2019 02:03,-331.0,OtherSource1,3,-331.0,0.0,
80.0,28080,136042,12-01-2019 02:05,331.0,OtherSource1,3,331.0,331.0,
81.0,28080,136044,12-01-2019 02:13,-331.0,OtherSource1,3,-331.0,0.0,
82.0,28080,136053,12-01-2019 06:01,331.0,OtherSource1,3,331.0,331.0,
83.0,28080,136955,12-04-2019 03:31,-331.0,OtherSource1,3,-331.0,0.0,
84.0,28080,136965,12-04-2019 07:30,331.0,OtherSource1,3,331.0,331.0,
85.0,28080,136986,12-04-2019 11:02,-331.0,OtherSource1,3,-331.0,0.0,
86.0,28080,136987,12-04-2019 11:05,250.0,PAYED/CANCELLED2,4,250.0,250.0,
87.0,28080,136988,12-04-2019 14:05,-250.0,PAYED/CANCELLED2,4,-250.0,0.0,
88.0,28080,144619,12/31/2019 21:12,331.0,alrajhi3,5,331.0,331.0,
89.0,28080,144620,12/31/2019 21:12,250.0,nan3,6,250.0,581.0,
90.0,28080,144620,12/31/2019 21:12,250.0,nan4,7,250.0,831.0,
